batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
0,Random,0,0.4076354214729845,0.5458748409479002,1.0583005244258363,0.34957074204685173,3.4903367196447936,,0.4076354214729845,0.5458748409479002,1.0583005244258363,0.34957074204685173,477.95152430555555,0.0,23,4.0,0.025,1.0,
0,RoundRobin,0,0.42253336973691996,0.5516057892767392,0.8,0.309088945862966,3.5688470352990533,,0.42253336973691996,0.5516057892767392,0.8,0.309088945862966,579.8758576388888,0.0,31,3.0,0.0,,
0,FIFO,0,0.223074322979362,0.6693496781610416,3.218695387886216,0.44386906037147505,3.798100852806855,,0.223074322979362,0.6693496781610416,3.218695387886216,0.44386906037147505,843.906309027778,0.0,4,17.0,0.125,0.6,
0,LeastLoaded,0,0.4018053413324352,0.5445722966138844,0.4898979485566356,0.4179824334119653,3.309237858779663,,0.4018053413324352,0.5445722966138844,0.4898979485566356,0.4179824334119653,405.40679166666666,0.0,38,2.0,0.075,0.0,
0,GreedyBestOutcome,0,0.6304905461709291,0.39301952395492057,2.0199009876724157,0.717180891546484,3.466186543224704,,0.6304905461709291,0.39301952395492057,2.0199009876724157,0.717180891546484,282.68756249999996,0.0,11,10.0,0.1,0.5,
0,StandardNSGA2,0,0.48656761512883373,0.5167885303555344,0.9380831519646861,0.5755281748437766,2.8450773935123457,0.013918230101577805,0.48656761512883373,0.5167885303555344,0.9380831519646861,0.5755281748437766,251.12714236111114,0.0,28,4.0,0.075,0.6666666666666666,30.0
0,NSGA3,0,0.4750818424723571,0.5392809063643742,1.0392304845413265,0.623691339511985,2.416919476563968,0.016490569297253264,0.4750818424723571,0.5392809063643742,1.0392304845413265,0.623691339511985,127.4640694444444,0.0,24,5.0,0.1,0.75,21.0
0,PAA-NSGA-II,0,0.5598993161201651,0.41053018866861474,1.50996688705415,0.75880265674462,2.918401204816738,0.01934278537761734,0.5598993161201651,0.41053018866861474,1.50996688705415,0.75880265674462,231.31888541666663,0.0,19,6.0,0.125,0.8,30.0
0,PAA-noPriority,0,0.44427792083840567,0.5093357202200289,0.848528137423857,0.47587318951415725,2.6818708591453344,0.013304443019624227,0.44427792083840567,0.5093357202200289,0.848528137423857,0.47587318951415725,309.1574097222221,0.0,28,3.0,0.05,0.5,30.0
0,PAA-noAdaptive,0,0.5041703278513563,0.4410811254382976,1.2165525060596438,0.7047626240489173,2.789042915050454,0.02076108663932847,0.5041703278513563,0.4410811254382976,1.2165525060596438,0.7047626240489173,271.7217395833333,0.0,24,5.0,0.075,0.6666666666666666,30.0
0,PAA-noSLAMut,0,0.544104704053677,0.4022429527716488,1.2328828005937953,0.7234310079124848,2.9148351434401887,0.024622250307239125,0.544104704053677,0.4022429527716488,1.2328828005937953,0.7234310079124848,251.73481597222218,0.0,23,5.0,0.15,0.6666666666666666,30.0
