batch,policy,run,f1,f2,f3,f4,f5
0,StandardNSGA2,0,-0.354233018145837,0.5558281009195243,0.9591663046625439,-0.5255290394772956,1.7086882144468287
0,StandardNSGA2,0,-0.40281710576288166,0.6270157816667759,0.9165151389911682,-0.6096702609571498,1.5061394383402764
0,StandardNSGA2,0,-0.5891489273638034,0.3644745797303142,1.6370705543744901,-0.6736392383559819,3.901310877246574
0,StandardNSGA2,0,-0.4670287107386102,0.5050808070384122,1.019803902718557,-0.32013579346676846,2.1249502787056116
0,StandardNSGA2,0,-0.6043016312146223,0.39687431724423267,1.4142135623730951,-0.7697034827133157,3.3875046392061834
0,StandardNSGA2,0,-0.5024889687252756,0.47884195573969224,1.0954451150103321,-0.8505604947375816,2.8770129648032614
0,StandardNSGA2,0,-0.4251836831249244,0.5452820791867758,1.2328828005937953,-0.4649091661784682,0.8968316092914588
0,StandardNSGA2,0,-0.5628976824344626,0.436924052464562,1.077032961426901,-0.5399333985527215,4.502281976623226
0,StandardNSGA2,0,-0.4077658342934927,0.514463118617229,0.4898979485566356,-0.6162012264755324,3.12944211959755
0,StandardNSGA2,0,-0.5874252865820265,0.35727578369476637,1.523154621172782,-0.6209286077465178,3.830389556840186
0,StandardNSGA2,0,-0.3946543352893906,0.5615827909547196,0.6324555320336759,-0.6145419661374477,2.657138702761665
0,StandardNSGA2,0,-0.4749005954258463,0.4971001742769303,0.938083151964686,-0.3425582221470377,2.242290635070295
0,StandardNSGA2,0,-0.5856694472321438,0.3903778222056459,1.385640646055102,-0.7995007899834263,3.258683942281697
0,StandardNSGA2,0,-0.4141645941721615,0.5422655657978392,0.8246211251235321,-0.4436748794848585,2.227979079187549
0,StandardNSGA2,0,-0.517306857368351,0.45628451072314674,0.9797958971132712,-0.40059808658578255,2.8668372041183634
0,StandardNSGA2,0,-0.43904230181265297,0.5982897812857502,0.8717797887081348,-0.5450308971953441,1.9428348510983902
0,StandardNSGA2,0,-0.40770266575248354,0.5247811817800709,0.5291502622129182,-0.6339551258020124,3.089361461192575
0,StandardNSGA2,0,-0.4345026834857192,0.5927251153987824,1.1832159566199234,-0.47138715129179065,1.2618898593543233
0,StandardNSGA2,0,-0.36952684113481843,0.615273379939916,0.692820323027551,-0.6585003177334704,2.030629580457391
0,StandardNSGA2,0,-0.4941891451340089,0.4923139931950936,1.32664991614216,-0.4815861859209196,1.5526465649771128
0,StandardNSGA2,0,-0.42989612696663304,0.5660799907456464,1.1661903789690602,-0.5066915509831459,1.0744573403494357
0,StandardNSGA2,0,-0.4001527420736345,0.6082166727500803,0.8,-0.5950661053267075,1.7451804609516466
0,StandardNSGA2,0,-0.4831941164382837,0.5395530211145465,0.8944271909999161,-0.37595569325738026,2.202446245383019
0,StandardNSGA2,0,-0.6004460239640531,0.3714241409989002,1.6,-0.762325548710561,3.622299286938117
0,StandardNSGA2,0,-0.5929859969843407,0.36604226046490584,1.4832396974191329,-0.7354374268356187,3.7026825539176853
0,StandardNSGA2,0,-0.5609981641089218,0.41800804514727075,1.1313708498984762,-0.5815428870725874,4.3608563523463
0,StandardNSGA2,0,-0.5731139558943293,0.4026286396241396,1.3564659966250538,-0.7656916568558171,2.826987220782427
0,StandardNSGA2,0,-0.5002785291316492,0.4523740411288054,1.1135528725660044,-0.8310177151000981,3.013051534542455
0,StandardNSGA2,0,-0.4129821514767361,0.5308216091059762,0.6928203230275509,-0.7184782816784049,2.9155732826623932
0,StandardNSGA2,0,-0.41153094741469054,0.6185169095583462,0.9797958971132714,-0.5910769114169719,1.4227298900147844
0,StandardNSGA2,0,-0.5678532884088587,0.42189453184349235,1.1313708498984762,-0.5813034631147647,4.1107085020839875
0,StandardNSGA2,0,-0.4844165839229729,0.4629155023167725,0.9380831519646861,-0.775257476036035,3.0663303774098822
0,StandardNSGA2,0,-0.4195487362099682,0.4896218474254665,0.7745966692414834,-0.5320466191829288,2.9568629904464108
0,StandardNSGA2,0,-0.4011990946052544,0.5916813756332887,0.916515138991168,-0.5197618419600402,1.8125760830863904
0,StandardNSGA2,0,-0.6034552751141679,0.3735548756965107,1.562049935181331,-0.7422653720361918,3.6143747305509413
0,StandardNSGA2,0,-0.40958839362371685,0.5878007404620104,1.019803902718557,-0.5648580028684036,1.66261518056195
0,StandardNSGA2,0,-0.4252856588996362,0.5446945913240435,1.1832159566199232,-0.4610888198581219,0.9528423851601293
0,StandardNSGA2,0,-0.5314064633641451,0.4198398098654351,1.2806248474865698,-0.8127889639092686,3.350424086911873
0,StandardNSGA2,0,-0.4252869607082337,0.5780405027937203,1.0392304845413265,-0.4970573269883637,1.477069759253676
0,StandardNSGA2,0,-0.4415241669750449,0.5194494711205063,1.0,-0.38063462967800143,1.66063727563007
0,StandardNSGA2,0,-0.5484862179055714,0.4313977316394829,1.1135528725660044,-0.5791956591085425,3.132022579619638
0,StandardNSGA2,0,-0.5831701557230373,0.362157432471402,1.4560219778561039,-0.6193313855242957,3.878173081198709
0,StandardNSGA2,0,-0.410492874945042,0.52999710359442,0.7211102550927979,-0.7064878207776151,2.808092692375505
0,StandardNSGA2,0,-0.5943277265391267,0.38540412730395646,1.3114877048604003,-0.7429881147479478,3.5589228180145738
0,StandardNSGA2,0,-0.5443370015240315,0.4589874116094007,1.019803902718557,-0.7480852353265725,3.329299709683262
0,StandardNSGA2,0,-0.5774978894224345,0.39773966890174656,1.2806248474865698,-0.6882144209472915,3.5366301667927686
0,StandardNSGA2,0,-0.4906016369193612,0.5063683166648915,0.9591663046625439,-0.5420896047254885,2.366101669007545
0,StandardNSGA2,0,-0.5871488137646985,0.41264450964815713,1.2961481396815722,-0.6515750007297705,4.275168973782811
0,StandardNSGA2,0,-0.45305891886355915,0.5197904528119495,1.019803902718557,-0.6828059874809835,2.4980462231764644
0,StandardNSGA2,0,-0.5368870435506989,0.45239905919879664,1.1832159566199234,-0.6647349734019207,2.598470744264464
0,StandardNSGA2,0,-0.5707946004330917,0.38249901174630535,1.2489995996796797,-0.7518492937481869,3.219590951317879
0,StandardNSGA2,0,-0.3882594546854651,0.5728014904470518,0.9797958971132713,-0.5057037807212407,1.3332049459423678
0,StandardNSGA2,0,-0.5084599227902308,0.4254779484166492,1.0392304845413265,-0.5169441982584946,3.086636832583788
0,StandardNSGA2,0,-0.5483001817523864,0.40604153007205773,1.2328828005937953,-0.6253738959284042,3.64260500955114
